level,lesson,question_vi,answer_zh,words,explanation
HSK 1,9,Nhà tôi có ba người.,我家有三个人。,"[""我"", ""家"", ""有"", ""三"", ""个人""]",Sắp xếp các từ để tạo câu đúng: 我家有三个人。
HSK 1,9,Ngày mai thời tiết rất đẹp.,明天天气很好。,"[""明天"", ""天气"", ""很"", ""好""]",Sắp xếp các từ để tạo câu đúng: 明天天气很好。
HSK 1,9,Xin hãy cho tôi một cốc trà.,请给我一杯茶。,"[""请"", ""给"", ""我"", ""一杯"", ""茶""]",Sắp xếp các từ để tạo câu đúng: 请给我一杯茶。
HSK 1,9,Cô ấy biết nói tiếng Trung.,她会说汉语。,"[""她"", ""会"", ""说"", ""汉语""]",Sắp xếp các từ để tạo câu đúng: 她会说汉语。
HSK 1,10,Tôi thích học tiếng Trung.,我喜欢学习中文。,"[""我"", ""喜欢"", ""学习"", ""中文""]",Sắp xếp các từ để tạo câu đúng: 我喜欢学习中文。
HSK 1,10,Hôm nay tôi đi học.,今天我去学校。,"[""今天"", ""我"", ""去"", ""学校""]",Sắp xếp các từ để tạo câu đúng: 今天我去学校。
HSK 1,10,Mẹ đang nấu ăn ở nhà.,妈妈在家做饭。,"[""妈妈"", ""在"", ""家"", ""做饭""]",Sắp xếp các từ để tạo câu đúng: 妈妈在家做饭。
HSK 1,10,Mỗi ngày anh ấy uống nước.,他每天喝水。,"[""他"", ""每天"", ""喝"", ""水""]",Sắp xếp các từ để tạo câu đúng: 他每天喝水。
HSK 1,10,Chúng tôi cùng nhau xem phim.,我们一起看电影。,"[""我们"", ""一起"", ""看"", ""电影""]",Sắp xếp các từ để tạo câu đúng: 我们一起看电影。
HSK 1,10,Bạn tên là gì?,你叫什么名字。,"[""你"", ""叫什么"", ""名字""]",Sắp xếp các từ để tạo câu đúng: 你叫什么名字。
HSK 1,10,Nhà tôi có ba người.,我家有三个人。,"[""我"", ""家"", ""有"", ""三"", ""个人""]",Sắp xếp các từ để tạo câu đúng: 我家有三个人。
HSK 1,10,Ngày mai thời tiết rất đẹp.,明天天气很好。,"[""明天"", ""天气"", ""很"", ""好""]",Sắp xếp các từ để tạo câu đúng: 明天天气很好。
HSK 1,10,Xin hãy cho tôi một cốc trà.,请给我一杯茶。,"[""请"", ""给"", ""我"", ""一杯"", ""茶""]",Sắp xếp các từ để tạo câu đúng: 请给我一杯茶。
HSK 1,10,Cô ấy biết nói tiếng Trung.,她会说汉语。,"[""她"", ""会"", ""说"", ""汉语""]",Sắp xếp các từ để tạo câu đúng: 她会说汉语。
