App_level,Book_Level,Quest_Name,Quiz_ID,Quiz_Name,Vocab,English_Meaning,Vietnamese_Meaning,Word_Type,Photo,Component
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-02,Good morning,你,You (normal),Bạn,Pronoun,,你 = 亻 (person) + 尔 (you/that)
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-03,What is your name?,叫,To be called,Được gọi là,Verb,,叫 = 口 (mouth) + 丩 (twist)
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-03,What is your name?,什么,What,Cái gì,Pronoun,,"为 = 力 (power/force) + ⺀ (dot)
什 =  亻 (human) + 十 (ten)"
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-03,What is your name?,名字,Name,Tên,Noun,,"名 = 夕 (evening) + 口 (mouth)
 字 = 宀 (roof) + 子 (child)"
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-03,What is your name?,露西,Lucy,Lucy,Proper Noun,,"露 = 雨 (rain) + ⻊(foot) + 夂 (go) + 口 (mouth)
西 (west)"
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-03,What is your name?,汤姆,Li Wen,Lý Văn,Proper Noun,,"汤 = 氵(water) + ㇎ (N/A)
姆 = 女 (woman) + 母 (do not)"
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-04,Request assistance,能,Can / may,Có thể,Modal Verb,,能 = 厶 (private) + 月 (moon)
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-04,Request assistance,帮,help,Giúp đỡ,Verb,https://flashcardy.com/?card=cmgmd9tiu000b9biodbgkzuti,帮 = 一 (one) + 二 (two) + 丨 (line) + 阝 (town) + 巾 (turban/scarf)
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-04,Request assistance,可以,Can / may,Có thể,Modal Verb,,"可 = mouth + nail
 以 = person + slash"
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-04,Request assistance,包,Bag,Túi,Noun,https://flashcardy.com/?card=cmgmeerjo000htxcslqacnt30,勹 (wrap) + 巳 (silk cocoon shape)
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-04,Request assistance,重,Heavy,Nặng,Adjective,,千 (thousand) + 里 (mile)
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-04,Request assistance,拿,hold; take,Cầm; mang,Verb,https://flashcardy.com/?card=cmgmfpl49000l9bioa5iajdct,拿 = 人 (human) + 一 (one) + 口 (mouth) + 手 (hand)
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-05,Sorry,是,To be,Là,Verb,,是 = 日 (sun) + 正 (correct)
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-05,Sorry,玛丽,Mary,Mary,Noun,,"玛 = 王 (jade) + 马 (horse)
丽 => 一 (one) + 冂 (down box) + 丶(dot)"
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-05,Sorry,不是,Not (to be),Không phải,Phrase,,"不 = stroke with hook (not)
 是 = 日 (sun) + 正 (correct)"
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-05,Sorry,对不起,Sorry,Xin lỗi,Phrase,,"对 = 寸 (hand) + 又 (again)
 不 = not
 起 = 走 (walk) + 己 (self)"
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-05,Sorry,没关系,It doesn’t matter,Không sao,Phrase,,"没 = 氵 (water) + 殳 (strike)
 关 = gate
 系 = silk thread tied together"
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-06,Nice to meet you.,来,Let me,Để tôi,Verb,,来 = 木 (tree) + a stylized hand – symbolizing bringing
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-06,Nice to meet you.,介绍,To introduce,Giới thiệu,Verb,,"介 = person between two lines (to go between)
 绍 = 纟 (silk) + 肖 (resemble)"
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-06,Nice to meet you.,一下儿,A bit / Once,Một chút / Một lần,Phrase,,"一 = one 
 下 = 一 (one) + 卜 (divination) → down
 儿 = child radical; also used as a suffix"
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-06,Nice to meet you.,高兴,Happy,Vui,Adjective,,"高 = tall
 兴 = 八 + 小 (small)"
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-06,Nice to meet you.,认识,Meet,Gặp,Verb,,"认 = 讠(speech) + 人 (person)
识 = 讠(speech) + 只 (only)"
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-07,Where are you going?,不,Not / No,Không,Adverb,,不 = a hooked stroke – symbol for negation
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-07,Where are you going?,去,To go,Đi,Verb,,去 = 土 (earth) + 厶 (private)
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-07,Where are you going?,哪儿,Where,Ở đâu,Adverb,https://flashcardy.com/?card=cmgmdk5oj000dtxcsuog0y2pc,"哪 = 口 (mouth) + 那 (that)
 儿 = child radical"
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-07,Where are you going?,邮局,post office,Bưu điện,Noun,,"邮 = 二 (two) + 丨 (line) + 凵 (container) +  阝(town)
局 = 尸 (corpse) + ㇆ (N/A) + 口 (mouth)"
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-07,Where are you going?,寄,send; post; mail,Gửi,Verb,https://flashcardy.com/?card=cmhr115yf000t9biokuhqvtpu,寄 = 宀 (roof) + 大 (big) + 一 (one) + 亅 (hook) +  口 (mouth)
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-07,Where are you going?,信,letter,Thư,Noun,,信 = 亻 (human) + 言 (speech)
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-07,Where are you going?,取,take,Mang / lấy,Verb,,取 = 耳 (ear) + 又 (right hand)
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-07,Where are you going?,钱,Money,Tiền,Noun,,钱 = 钅(gold) + 戋 (narrow)
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-08,What are you doing?,游泳,swimming,Bơi lội,verb,https://flashcardy.com/?card=cmhr14bjy0013txcsbmqljxbk,"游泳 (swimming) = 游 (to swim) + 泳 (to swim)
游 (to swim) = 氵 (water) + 斿 (to travel)
泳 (to swim) = 氵 (water) + 永 (forever)
永 (forever) = 丶 (dot) + 水 (water)"
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-08,What are you doing?,睡觉,sleeping,Ngủ,verb,https://flashcardy.com/?card=cmhr16shm00139bio8j7zje62,"睡觉 (sleeping) = 睡 (to sleep) + 觉 (sleep/feel)
睡 (to sleep) = 目 (eye) + 垂 (to hang down)
觉 (sleep/feel) = 见 (to see) + 学 (study)"
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-08,What are you doing?,家,family,Gia đình,noun,https://flashcardy.com/?card=cmg4mndrv000t776am7eaz83r,"家 (home/family) = 宀 (roof, semantic) + 豕 (pig, semantic)"
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-08,What are you doing?,说话,talking,Nói chuyện,verb,https://flashcardy.com/?card=cmhr2aix60017txcsxumdx4ue,"说话 (talking) = 说 (to speak) + 话 (speech/words)
说 (to speak) = 言 (speech) + 兑 (exchange)
兑 (exchange) = 八 (divide) + 兄 (elder brother)
话 (words) = 讠(speech radical) + 舌 (tongue)"
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-08,What are you doing?,讨论,discussing,Thảo luận,verb,https://flashcardy.com/?card=cmhr2bwd200179biocc0avtrj,"讨论 (discussing) = 讨 (to discuss/ask) + 论 (theory)
讨 (to ask/discuss) = 讠(speech radical) + 寸 (inch/measure)
论 (theory) = 讠(speech radical) + 仑 (arrange)
仑 (arrange) = 人 (person) + 匕 (spoon/dagger)"
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-09,Who is she?,朋友,Friend,Bạn bè,Noun,https://flashcardy.com/?card=cmhr2d4xm001b9biolbi6qndb,"朋 = 月 (moon) + 月 (moon)
 友 = 又 (again) + 手 (hand)"
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-09,Who is she?,国,Country,Quốc gia,Noun,https://flashcardy.com/?card=cmhr2ggpv001f9biozqichugr,囗 (enclosure) + 玉 (jade)
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-09,Who is she?,工作,Job,Công việc,Noun,https://flashcardy.com/?card=cmhr2excm001btxcsu1oj7cnl,工 = work; 作 = person + yesterday (as verb)
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-09,Who is she?,会,Can / know how to,Biết / Có thể,Verb,https://flashcardy.com/?card=cmhr2hzv1001j9bio3rypu42q,人 (person) + 云 (cloud/speak)
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-09,Who is she?,说,Say/speak,Nói,Verb,https://flashcardy.com/?card=cmhr2koae001ltxcsvgeyyamj,讠(speech) + 兑 (exchange)
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-10,Who are they?,他们,they,Họ,pronoun,https://flashcardy.com/?card=cmhr2tnio001ptxcspqe8s0oj,"他们 (they) = 他 (he) + 们 (plural suffix)
他 (he) = 亻(person) + 也(also)
们 (plural suffix) = 亻(person) + 门(door)"
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-10,Who are they?,认识,know,Biết,verb,,"认识 (know) = 认 (recognize) + 识 (knowledge)
认 (recognize) = 讠(speech) + 人(person)
识 (knowledge) = 讠(speech) + 只(only)"
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-10,Who are they?,波士顿,Boston,Boston,proper noun,https://flashcardy.com/?card=cmhqkjyss000ztxcsal9w8t3r,"波士顿 (Boston) = 波 (wave) + 士 (scholar) + 顿 (pause)
波 (wave) = 氵 (water) + 皮 (skin)
顿 (pause) = 屯 (store) + 页 (semantic)
士 (scholar) = pictograph (no further split)"
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-10,Who are they?,乡下,country,Quốc gia,noun,https://flashcardy.com/?card=cmhqkmfke000p9biodsu2g0un,"乡下 (country) = 乡 (village) + 下 (below)
乡 (village) = ⺷(sheep) + 阝(village)
下 (below) = 一(one) + 卜(divination mark)"
Beginner,HSK 1,Greetings and Introductions,QZ-HSK1-QT01A-10,Who are they?,热闹,bustle,Nhộn nhịp,adjective,,"热闹 (bustle) = 热 (hot) + 闹 (noisy)
热 (hot) = 扌(hand) + 丸(pellet) + 灬(fire)
闹 (noisy) = 门(door) + 市(market)"
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-01,Who are you?,还是,or,Hoặc,conjunction,,"或 (or) = 戈 (halberd) + 口 (mouth)
戈 (halberd) = 戈 (basic radical itself)"
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-01,Who are you?,学生,student,Học sinh,noun,,"学生 (student) = 学 (study) + 生 (life)
学 (study) = 宀 (roof) + 子 (child) + 冖 (cover)
生 (life) = 一 (one) + 丿 (slash) + | (vertical line)"
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-01,Who are you?,朋友,friends,Bạn bè,noun,,"朋友 (friends) = 朋 (companion) + 友 (friend)
朋 (companion) = 月 (moon/flesh) + 月 (moon/flesh)
友 (friend) = 又 (right hand/again) + 一 (one)"
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-01,Who are you?,中文,Chinese,Tiếng Trung,noun/adj,,"中文 (Chinese) = 中 (middle) + 文 (writing)
中 (middle) = 口 (mouth/frame) + 丨 (line)
文 (writing) = 亠 (lid) + 乂 (cut/cross)"
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-01,Who are you?,的,"of, 's",Của,possesive,,"的 (""de"" - belong to)"
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-02,This is Teacher Wang,这,This,Này,Pronoun,,这 = 辶 (walk) + 文 (writing)
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-02,This is Teacher Wang,老师,Teacher,Giáo viên,Noun,,"老 = 耂 (old) + 匕 (spoon)
 师 = 巾 (cloth) + 帀 (command)"
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-02,This is Teacher Wang,王,Wang (surname),Vương (họ),Proper Noun,,"王 = three lines, symbolizing jade"
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-02,This is Teacher Wang,爸爸,Dad,Bố,Noun,,"父 = hand holding stick (discipline)
 巴 = mouth shape"
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-02,This is Teacher Wang,请,Please / Invite,Mời,Verb,,讠(speech) + 青 (green/blue)
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-02,This is Teacher Wang,进,come in,Mời vào,Verb,,进 = 辶 (walk) + 二 (two)
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-02,This is Teacher Wang,坐,take a seat,Mời ngồi,Verb,https://flashcardy.com/?card=cmhri132a003ltxcse6axck5l,坐 = 土 (earth) + 从 (N/A
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-02,This is Teacher Wang,茶 ,tea,Trà,Noun,https://flashcardy.com/?card=cmhrhxsvp003b9biouuthul8n,茶 = 艹 (grass) + 人 (human) + 十 (ten) + 小 (small)
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-03,What is it?,球,ball,Bóng,noun,https://flashcardy.com/?card=cmhrhvr34003htxcs1smac6xk,"球 (ball) = 王 (jade/king) + 求 (to seek)
求 (seek) = 氺 (water radical variant) + 丨 (line)"
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-03,What is it?,熊,bear,Gấu,noun,https://flashcardy.com/?card=cmhrhsxae003dtxcssgaxgm9g,"熊 (bear) = 能 (ability) + 火 (fire)
能 (ability) = 匕 (spoon) + 月 (flesh/moon) + 匚 (box)"
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-03,What is it?,熊猫,panda,Gấu trúc,noun,https://flashcardy.com/?card=cmhrhrs1m00379bio4dxxgf9f,"熊猫 (panda) = 熊 (bear) + 猫 (cat)
猫 (cat) = 犭(animal radical) + 苗 (sprout)
苗 (sprout) = 艹 (grass) + 田 (field)"
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-03,What is it?,鸡蛋,chicken egg,Trứng gà,noun,https://flashcardy.com/?card=cmhrhpeut00339bioht39d4o8,"鸡蛋 (chicken egg) = 鸡 (chicken) + 蛋 (egg)
鸡 (chicken) = 又 (hand/again) + 鸟 (bird)
鸟 (bird) = 鸟 (pictograph bird itself, head + tail)
蛋 (egg) = 虫 (insect/creature) + 旦 (dawn/sunrise)
旦 (dawn) = 日 (sun) + 一 (horizon line)"
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-03,What is it?,鸭蛋,duck egg,Trứng vịt,noun,https://flashcardy.com/?card=cmhrhoe690039txcstvtcc4ps,"鸭蛋 (duck egg) = 鸭 (duck) + 蛋 (egg)
鸭 (duck) = 甲 (armor/shell) + 鸟 (bird)"
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-04,Where are you from?,日本人,Japanese,Người Nhật / Tiếng Nhật,noun,https://flashcardy.com/?card=cmhrhn4ho0035txcsns03usn8,"日本人 (Japanese) = 日本 (Japan) + 人 (person)
日 (sun/day) = 囗 (enclosure) + 一 (one)
本 (root/origin) = 木 (tree) + 一 (one, mark base)
人 (person) = 亻 (person radical, simple form)"
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-04,Where are you from?,司机,driver,Tài xế,noun,https://flashcardy.com/?card=cmhrhm09e002z9bio6wlzqi8a,"司机 (driver) = 司 (to control) + 机 (machine)
司 (to control) = 一 (one) + 口 (mouth) + 人 (person)
机 (machine) = 木 (wood) + 几 (table)"
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-04,Where are you from?,俄罗斯人,Russian,Người Nga / Tiếng Nga,noun,https://flashcardy.com/?card=cmhrhjchb0031txcseb7dc74d,"俄罗斯人 (Russian) = 俄 (Russia) + 罗斯 (Ross) + 人 (person)
俄 (Russia) = 亻 (person) + 我 (I/me)
我 (I) = 戈 (spear) + 手 (hand)
罗斯 (Ross) = 艹 (grass) + 囗 (enclosure) + 小 (small) + 木 (tree)
人 (person) = 亻 (person radical)"
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-04,Where are you from?,德国人,German,Người Đức / Tiếng Đức,noun,https://flashcardy.com/?card=cmhrhhzlr002v9bio0dictxue,"德国人 (German) = 德 (virtue/Germany) + 国 (country) + 人 (person)
德 (virtue) = 彳 (step) + 直 (straight) + 心 (heart)
国 (country) = 囗 (enclosure) + 玉/王 (jade/king)
人 (person) = 亻 (person radical)"
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-04,Where are you from?,越南,Vietnamese,Người Việt / Tiếng Việt,proper noun,https://flashcardy.com/?card=cmhrg8kwt002xtxcsqnra5y7x,"越南 (Vietnam) = 越 (to surpass) + 南 (south)
越 (to surpass) = 走 (to walk) + 戉 (axe)
南 (south) = 十 (ten) + 冂 (border) + 丨(stroke)"
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-05,Is he doing that?,爬山,climbing,Leo,verb,https://flashcardy.com/?card=cmhrg7cz2002ttxcs40v9bf6i,"爬山 (climbing) = 爬 (to climb) + 山 (mountain)
爬 (to climb) = 扌(hand) + 巴 (cling)
巴 (cling) = 巳 (curved)
山 (mountain) = 山 (pictograph of mountain, three peaks)"
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-05,Is he doing that?,山,mountain,Núi,noun,https://flashcardy.com/?card=cmhrg62be002ptxcschf1djxq,"山 (mountain) = 山 (basic radical, pictograph itself)"
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-05,Is he doing that?,吃,eating,Ăn,verb,https://flashcardy.com/?card=cmhrg40b1002r9biodhvy31as,"吃 (eat) = 口 (mouth) + 乞 (beg)
乞 (beg) = 人 (person) + 乙 (second, curved stroke)"
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-05,Is he doing that?,烤鸭,roast duck,Vịt quay,noun,https://flashcardy.com/?card=cmhrg2y3b002ltxcszpigx3ag,"烤鸭 (roast duck) = 烤 (roast) + 鸭 (duck)
烤 (roast) = 火 (fire) + 考 (test/consider)
考 (test) = 老 (old) + 丂 (breath obstruction)
鸭 (duck) = 甲 (armor) + 鸟 (bird)"
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-05,Is he doing that?,不错,OK/nice,Được / Tốt,adjective,https://flashcardy.com/?card=cmhrg1862002n9biozlugargo,"不错 (OK) = 不 (not) + 错 (wrong, mistake)
不 (not) = 一 (one) + 丿 (slash) + 丨 (line)
错 (wrong) = 钅(metal) + 昔 (past)
昔 (past) = 日 (sun) + 廿 (twenty)"
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-06,Stuff in the house,冰箱,fridge,Tủ lạnh,noun,https://flashcardy.com/?card=cmhrfzv6c002j9bio88ldcoyu,"冰箱 (fridge) = 冰 (ice) + 箱 (box/chest)
冰 (ice) = 冫(ice radical) + 水 (water)
箱 (box) = 竹 (bamboo) + 相 (mutual)
相 (mutual) = 木 (wood) + 目 (eye)"
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-06,Stuff in the house,床,bed,Giường,noun,https://flashcardy.com/?card=cmhrfypej002f9bioaf0qk9ch,床 (bed) = 广 (shelter) + 木 (wood)
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-06,Stuff in the house,船,ship,Tàu thủy,noun,https://flashcardy.com/?card=cmg4mj9sn000p776ap28hvug3,"船 (ship) = 舟 (boat radical) + 㕣 (phonetic part)
舟 (boat) = pictograph of a boat"
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-06,Stuff in the house,小船,boat,Thuyền,noun,https://flashcardy.com/?card=cmg4mhnz1001fvqy3a3dh4u4q,"小船 (boat) = 小 (small) + 船 (ship)
小 (small) = three small strokes (pictograph)"
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-06,Stuff in the house,桌子,table,Bàn,noun,https://flashcardy.com/?card=cmg4mg2fa001bvqy3lpk1zyl6,"桌子 (table) = 桌 (table) + 子 (suffix/child)
桌 (table) = 木 (wood) + 卓 (outstanding)
卓 (outstanding) = 卜 (divine) + 日 (sun)"
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-07,What does she think?,喜欢,like,Thích,verb,https://flashcardy.com/?card=cmg4mefym0017vqy3u81xwkjy,"喜欢 (like) = 喜 (happy) + 欢 (joyful)
喜 (happy) = 壴 (drum) + 口 (mouth)
欢 (joyful) = 又 (hand/again) + 欠 (yawn/lack)"
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-07,What does she think?,尴尬,embarrassing,Ngại / Xấu hổ,adjective,https://flashcardy.com/?card=cmhr3w7tl002b9bio00pdn16f,"尴尬 (embarrassing) = 尴 (awkward) + 尬 (awkward)
尴 (awkward) = 尸 (corpse) + 监 (inspect)
监 (inspect) = 皿 (dish) + 𠔉 (cover)
尬 (awkward) = 尸 (corpse) + 介 (between)
介 (between) = 人 (person) + 丿 (slash)"
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-07,What does she think?,小,small,Nhỏ,adjective,https://flashcardy.com/?card=cmhr3sj1m002htxcsdytw7379,小 (small) = three small strokes (pictograph of tiny things)
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-07,What does she think?,精致,beautiful,Đẹp,adjective,https://flashcardy.com/?card=cmg4i8a4g000d776a2e8vsbk2,"精致 (exquisite) = 精 (refined / pure) + 致 (delicate / detailed)
精 (refined) = 米 (grain, semantic) + 青 (green/fresh)
致 = 至 (arrive, phonetic) + 攵 (action, semantic)"
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-07,What does she think?,大,big,Lớn,adjective,https://flashcardy.com/?card=cmhr3p8ru00279bio2s6f3jc4,大 (big) = person with outstretched arms (pictograph)
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-08,Go to school with uniform,衣服,clothes,Quần áo,noun,https://flashcardy.com/?card=cmhr3nf1t00239bio90uuowcb,"衣服 (clothes) = 衣 (clothing) + 服 (garment)
衣 (clothing) = 衤 (clothes radical) + 𠃌 (stroke)
服 (garment) = 月 (flesh) + 卩 (kneeling person, submission)"
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-08,Go to school with uniform,湿,wet,Ướt,adjective,https://flashcardy.com/?card=cmhr3lufw001z9biot1g6jx75,"湿 (wet) = 氵 (water) + 显 (to show)
显 (to show) = 日 (sun) + 业 (business)"
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-08,Go to school with uniform,干,dry,Khô,adjective,https://flashcardy.com/?card=cmhr3konz002dtxcstoq6s58f,干 (dry) = 一 (one) + 十 (ten)
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-08,Go to school with uniform,公司,company,Công ty,noun,https://flashcardy.com/?card=cmhr3a6vq001v9bioevnzp570,"公司 (company) = 公 (public) + 司 (to manage)
公 (public) = 八 (to divide) + 厶 (private)
司 (to manage) = 一 (one) + 口 (mouth)"
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-08,Go to school with uniform,学校,school,Trường học,noun,https://flashcardy.com/?card=cmhr38w480029txcs0l3jgin1,"学校 (school) = 学 (study) + 校 (school/examine)
学 (study) = 宀 (roof) + 子 (child) + 爻 (to compare)
校 (school/examine) = 木 (wood) + 交 (to mix)"
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-09,What day is it today?,星期三,Wednesday,Thứ Tư,Noun,,星期 = week; 三 = three
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-09,What day is it today?,明天,Tomorrow,Ngày mai,Noun,,"明 = 日 (sun) + 月 (moon)
 天 = 一 (one) + 大 (big)"
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-09,What day is it today?,有,To have,Có,Verb,,又 (hand) + 月 (moon)
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-09,What day is it today?,课,Lesson,Bài học,Noun,https://flashcardy.com/?card=cmhr35q0y0025txcspixshryf,讠 (speech) + 果 (fruit/result)
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-09,What day is it today?,九点,Nine o'clock,Chín giờ,Noun,,"九 = 丿 (bend) + ㇈ (N/A) 
点 = ⺊ (divination) + 口 (mouth) + 灬 (fire)"
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-09,What day is it today?,再见,Goodbye,Tạm biệt,Phrase,,"再 = 一 (one) + 冄 (again)
 见 = 目 (eye)"
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-10,What is the drink?,喝,drink,Uống,verb,https://flashcardy.com/?card=cmhr33fee001r9biosvffmzc8,"喝 (drink) = 口 (mouth) + 曷 (why / phonosemantic)
曷 (why) = 曰 (say/sun-like form) + 匃 (cover shape)"
Beginner,HSK 1,Asking people,QZ-HSK1-QT01B-10,What is the drink?,可乐,coke,Coca Cola,noun,https://flashcardy.com/?card=cmhr31k0x0021txcszdo9avu9,"可乐 (coke) = 可 (can) + 乐 (happy)
可 (can) = 丂 (breath) + 口 (mouth)
乐 (happy) = 丿(stroke) + 小(small) + 丶(dot)"
