level,lesson,question_vi,answer_zh,words,explanation
HSK 1,9,Nhà tôi có ba người.,我家有三个人。,"[""我"", ""家"", ""有"", ""三"", ""个人""]",Sắp xếp các từ để tạo câu đúng: 我家有三个人。
HSK 1,9,Ngày mai thời tiết rất đẹp.,明天天气很好。,"[""明天"", ""天气"", ""很"", ""好""]",Sắp xếp các từ để tạo câu đúng: 明天天气很好。
HSK 1,9,Xin hãy cho tôi một cốc trà.,请给我一杯茶。,"[""请"", ""给"", ""我"", ""一杯"", ""茶""]",Sắp xếp các từ để tạo câu đúng: 请给我一杯茶。
HSK 1,9,Cô ấy biết nói tiếng Trung.,她会说汉语。,"[""她"", ""会"", ""说"", ""汉语""]",Sắp xếp các từ để tạo câu đúng: 她会说汉语。
HSK 1,10,Tôi thích học tiếng Trung.,我喜欢学习中文。,"[""我"", ""喜欢"", ""学习"", ""中文""]",Sắp xếp các từ để tạo câu đúng: 我喜欢学习中文。
HSK 1,10,Hôm nay tôi đi học.,今天我去学校。,"[""今天"", ""我"", ""去"", ""学校""]",Sắp xếp các từ để tạo câu đúng: 今天我去学校。
HSK 1,10,Mẹ đang nấu ăn ở nhà.,妈妈在家做饭。,"[""妈妈"", ""在"", ""家"", ""做饭""]",Sắp xếp các từ để tạo câu đúng: 妈妈在家做饭。
HSK 1,10,Mỗi ngày anh ấy uống nước.,他每天喝水。,"[""他"", ""每天"", ""喝"", ""水""]",Sắp xếp các từ để tạo câu đúng: 他每天喝水。
HSK 1,10,Chúng tôi cùng nhau xem phim.,我们一起看电影。,"[""我们"", ""一起"", ""看"", ""电影""]",Sắp xếp các từ để tạo câu đúng: 我们一起看电影。
HSK 1,10,Bạn tên là gì?,你叫什么名字。,"[""你"", ""叫什么"", ""名字""]",Sắp xếp các từ để tạo câu đúng: 你叫什么名字。
HSK 1,10,Nhà tôi có ba người.,我家有三个人。,"[""我"", ""家"", ""有"", ""三"", ""个人""]",Sắp xếp các từ để tạo câu đúng: 我家有三个人。
HSK 1,10,Ngày mai thời tiết rất đẹp.,明天天气很好。,"[""明天"", ""天气"", ""很"", ""好""]",Sắp xếp các từ để tạo câu đúng: 明天天气很好。
HSK 1,10,Xin hãy cho tôi một cốc trà.,请给我一杯茶。,"[""请"", ""给"", ""我"", ""一杯"", ""茶""]",Sắp xếp các từ để tạo câu đúng: 请给我一杯茶。
HSK 1,10,Cô ấy biết nói tiếng Trung.,她会说汉语。,"[""她"", ""会"", ""说"", ""汉语""]",Sắp xếp các từ để tạo câu đúng: 她会说汉语。
HSK 2,1,Tôi đã ăn sáng rồi.,我已经吃过早饭了。,"[""我"", ""已经"", ""吃过"", ""早饭"", ""了""]",Sắp xếp các từ để tạo câu đúng: 我已经吃过早饭了。
HSK 2,1,Vì trời mưa nên tôi không ra ngoài.,因为下雨所以我没出去。,"[""因为"", ""下雨"", ""所以"", ""我"", ""没"", ""出去""]",Sắp xếp các từ để tạo câu đúng: 因为下雨所以我没出去。
HSK 2,1,Bạn có thể giúp tôi một chút không?,你可以帮我一下吗。,"[""你"", ""可以"", ""帮"", ""我"", ""一下"", ""吗""]",Sắp xếp các từ để tạo câu đúng: 你可以帮我一下吗。
HSK 2,1,Anh ấy cao hơn tôi một chút.,他比我高一点儿。,"[""他"", ""比"", ""我"", ""高"", ""一点儿""]",Sắp xếp các từ để tạo câu đúng: 他比我高一点儿。
HSK 2,1,Chúng tôi đang chuẩn bị cho kỳ thi ngày mai.,我们正在准备明天的考试。,"[""我们"", ""正在"", ""准备"", ""明天"", ""的"", ""考试""]",Sắp xếp các từ để tạo câu đúng: 我们正在准备明天的考试。
HSK 2,1,Hãy đặt sách lên bàn.,请把书放在桌子上。,"[""请"", ""把"", ""书"", ""放"", ""在"", ""桌子"", ""上""]",Sắp xếp các từ để tạo câu đúng: 请把书放在桌子上。
HSK 2,1,Tôi thấy bộ quần áo này rất đẹp.,我觉得这件衣服很漂亮。,"[""我"", ""觉得"", ""这件"", ""衣服"", ""很"", ""漂亮""]",Sắp xếp các từ để tạo câu đúng: 我觉得这件衣服很漂亮。
HSK 2,1,Cuối tuần cô ấy thường trò chuyện với bạn.,她周末常常和朋友聊天。,"[""她"", ""周末"", ""常常"", ""和"", ""朋友"", ""聊天""]",Sắp xếp các từ để tạo câu đúng: 她周末常常和朋友聊天。
HSK 2,1,Từ đây đến nhà ga mất mười phút.,从这里到车站要十分钟。,"[""从"", ""这里"", ""到"", ""车站"", ""要"", ""十分钟""]",Sắp xếp các từ để tạo câu đúng: 从这里到车站要十分钟。
HSK 2,1,Nếu bạn có thời gian thì hãy đến nhà tôi.,如果你有时间就来我家吧。,"[""如果"", ""你"", ""有"", ""时间"", ""就"", ""来"", ""我家"", ""吧""]",Sắp xếp các từ để tạo câu đúng: 如果你有时间就来我家吧。
HSK 2,2,Tôi đã ăn sáng rồi.,我已经吃过早饭了。,"[""我"", ""已经"", ""吃过"", ""早饭"", ""了""]",Sắp xếp các từ để tạo câu đúng: 我已经吃过早饭了。
HSK 2,2,Vì trời mưa nên tôi không ra ngoài.,因为下雨所以我没出去。,"[""因为"", ""下雨"", ""所以"", ""我"", ""没"", ""出去""]",Sắp xếp các từ để tạo câu đúng: 因为下雨所以我没出去。
HSK 2,2,Bạn có thể giúp tôi một chút không?,你可以帮我一下吗。,"[""你"", ""可以"", ""帮"", ""我"", ""一下"", ""吗""]",Sắp xếp các từ để tạo câu đúng: 你可以帮我一下吗。
HSK 2,2,Anh ấy cao hơn tôi một chút.,他比我高一点儿。,"[""他"", ""比"", ""我"", ""高"", ""一点儿""]",Sắp xếp các từ để tạo câu đúng: 他比我高一点儿。
HSK 2,2,Chúng tôi đang chuẩn bị cho kỳ thi ngày mai.,我们正在准备明天的考试。,"[""我们"", ""正在"", ""准备"", ""明天"", ""的"", ""考试""]",Sắp xếp các từ để tạo câu đúng: 我们正在准备明天的考试。
HSK 2,2,Hãy đặt sách lên bàn.,请把书放在桌子上。,"[""请"", ""把"", ""书"", ""放"", ""在"", ""桌子"", ""上""]",Sắp xếp các từ để tạo câu đúng: 请把书放在桌子上。
HSK 2,2,Tôi thấy bộ quần áo này rất đẹp.,我觉得这件衣服很漂亮。,"[""我"", ""觉得"", ""这件"", ""衣服"", ""很"", ""漂亮""]",Sắp xếp các từ để tạo câu đúng: 我觉得这件衣服很漂亮。
HSK 2,2,Cuối tuần cô ấy thường trò chuyện với bạn.,她周末常常和朋友聊天。,"[""她"", ""周末"", ""常常"", ""和"", ""朋友"", ""聊天""]",Sắp xếp các từ để tạo câu đúng: 她周末常常和朋友聊天。
HSK 2,2,Từ đây đến nhà ga mất mười phút.,从这里到车站要十分钟。,"[""从"", ""这里"", ""到"", ""车站"", ""要"", ""十分钟""]",Sắp xếp các từ để tạo câu đúng: 从这里到车站要十分钟。
HSK 2,2,Nếu bạn có thời gian thì hãy đến nhà tôi.,如果你有时间就来我家吧。,"[""如果"", ""你"", ""有"", ""时间"", ""就"", ""来"", ""我家"", ""吧""]",Sắp xếp các từ để tạo câu đúng: 如果你有时间就来我家吧。
HSK 2,3,Tôi đã ăn sáng rồi.,我已经吃过早饭了。,"[""我"", ""已经"", ""吃过"", ""早饭"", ""了""]",Sắp xếp các từ để tạo câu đúng: 我已经吃过早饭了。
HSK 2,3,Vì trời mưa nên tôi không ra ngoài.,因为下雨所以我没出去。,"[""因为"", ""下雨"", ""所以"", ""我"", ""没"", ""出去""]",Sắp xếp các từ để tạo câu đúng: 因为下雨所以我没出去。
HSK 2,3,Bạn có thể giúp tôi một chút không?,你可以帮我一下吗。,"[""你"", ""可以"", ""帮"", ""我"", ""一下"", ""吗""]",Sắp xếp các từ để tạo câu đúng: 你可以帮我一下吗。
HSK 2,3,Anh ấy cao hơn tôi một chút.,他比我高一点儿。,"[""他"", ""比"", ""我"", ""高"", ""一点儿""]",Sắp xếp các từ để tạo câu đúng: 他比我高一点儿。
HSK 2,3,Chúng tôi đang chuẩn bị cho kỳ thi ngày mai.,我们正在准备明天的考试。,"[""我们"", ""正在"", ""准备"", ""明天"", ""的"", ""考试""]",Sắp xếp các từ để tạo câu đúng: 我们正在准备明天的考试。
HSK 2,3,Hãy đặt sách lên bàn.,请把书放在桌子上。,"[""请"", ""把"", ""书"", ""放"", ""在"", ""桌子"", ""上""]",Sắp xếp các từ để tạo câu đúng: 请把书放在桌子上。
HSK 2,3,Tôi thấy bộ quần áo này rất đẹp.,我觉得这件衣服很漂亮。,"[""我"", ""觉得"", ""这件"", ""衣服"", ""很"", ""漂亮""]",Sắp xếp các từ để tạo câu đúng: 我觉得这件衣服很漂亮。
HSK 2,3,Cuối tuần cô ấy thường trò chuyện với bạn.,她周末常常和朋友聊天。,"[""她"", ""周末"", ""常常"", ""和"", ""朋友"", ""聊天""]",Sắp xếp các từ để tạo câu đúng: 她周末常常和朋友聊天。
HSK 2,3,Từ đây đến nhà ga mất mười phút.,从这里到车站要十分钟。,"[""从"", ""这里"", ""到"", ""车站"", ""要"", ""十分钟""]",Sắp xếp các từ để tạo câu đúng: 从这里到车站要十分钟。
HSK 2,3,Nếu bạn có thời gian thì hãy đến nhà tôi.,如果你有时间就来我家吧。,"[""如果"", ""你"", ""有"", ""时间"", ""就"", ""来"", ""我家"", ""吧""]",Sắp xếp các từ để tạo câu đúng: 如果你有时间就来我家吧。
HSK 2,4,Tôi đã ăn sáng rồi.,我已经吃过早饭了。,"[""我"", ""已经"", ""吃过"", ""早饭"", ""了""]",Sắp xếp các từ để tạo câu đúng: 我已经吃过早饭了。
HSK 2,4,Vì trời mưa nên tôi không ra ngoài.,因为下雨所以我没出去。,"[""因为"", ""下雨"", ""所以"", ""我"", ""没"", ""出去""]",Sắp xếp các từ để tạo câu đúng: 因为下雨所以我没出去。
HSK 2,4,Bạn có thể giúp tôi một chút không?,你可以帮我一下吗。,"[""你"", ""可以"", ""帮"", ""我"", ""一下"", ""吗""]",Sắp xếp các từ để tạo câu đúng: 你可以帮我一下吗。
HSK 2,4,Anh ấy cao hơn tôi một chút.,他比我高一点儿。,"[""他"", ""比"", ""我"", ""高"", ""一点儿""]",Sắp xếp các từ để tạo câu đúng: 他比我高一点儿。
HSK 2,4,Chúng tôi đang chuẩn bị cho kỳ thi ngày mai.,我们正在准备明天的考试。,"[""我们"", ""正在"", ""准备"", ""明天"", ""的"", ""考试""]",Sắp xếp các từ để tạo câu đúng: 我们正在准备明天的考试。
HSK 2,4,Hãy đặt sách lên bàn.,请把书放在桌子上。,"[""请"", ""把"", ""书"", ""放"", ""在"", ""桌子"", ""上""]",Sắp xếp các từ để tạo câu đúng: 请把书放在桌子上。
HSK 2,4,Tôi thấy bộ quần áo này rất đẹp.,我觉得这件衣服很漂亮。,"[""我"", ""觉得"", ""这件"", ""衣服"", ""很"", ""漂亮""]",Sắp xếp các từ để tạo câu đúng: 我觉得这件衣服很漂亮。
HSK 2,4,Cuối tuần cô ấy thường trò chuyện với bạn.,她周末常常和朋友聊天。,"[""她"", ""周末"", ""常常"", ""和"", ""朋友"", ""聊天""]",Sắp xếp các từ để tạo câu đúng: 她周末常常和朋友聊天。
HSK 2,4,Từ đây đến nhà ga mất mười phút.,从这里到车站要十分钟。,"[""从"", ""这里"", ""到"", ""车站"", ""要"", ""十分钟""]",Sắp xếp các từ để tạo câu đúng: 从这里到车站要十分钟。
HSK 2,4,Nếu bạn có thời gian thì hãy đến nhà tôi.,如果你有时间就来我家吧。,"[""如果"", ""你"", ""有"", ""时间"", ""就"", ""来"", ""我家"", ""吧""]",Sắp xếp các từ để tạo câu đúng: 如果你有时间就来我家吧。
HSK 2,5,Tôi đã ăn sáng rồi.,我已经吃过早饭了。,"[""我"", ""已经"", ""吃过"", ""早饭"", ""了""]",Sắp xếp các từ để tạo câu đúng: 我已经吃过早饭了。
HSK 2,5,Vì trời mưa nên tôi không ra ngoài.,因为下雨所以我没出去。,"[""因为"", ""下雨"", ""所以"", ""我"", ""没"", ""出去""]",Sắp xếp các từ để tạo câu đúng: 因为下雨所以我没出去。
HSK 2,5,Bạn có thể giúp tôi một chút không?,你可以帮我一下吗。,"[""你"", ""可以"", ""帮"", ""我"", ""一下"", ""吗""]",Sắp xếp các từ để tạo câu đúng: 你可以帮我一下吗。
HSK 2,5,Anh ấy cao hơn tôi một chút.,他比我高一点儿。,"[""他"", ""比"", ""我"", ""高"", ""一点儿""]",Sắp xếp các từ để tạo câu đúng: 他比我高一点儿。
