level,lesson,question_vi,answer_zh,words,explanation
HSK 2,4,Tôi đã ăn sáng rồi.,我已经吃过早饭了。,"[""我"", ""已经"", ""吃过"", ""早饭"", ""了""]",Sắp xếp các từ để tạo câu đúng: 我已经吃过早饭了。
HSK 2,4,Vì trời mưa nên tôi không ra ngoài.,因为下雨所以我没出去。,"[""因为"", ""下雨"", ""所以"", ""我"", ""没"", ""出去""]",Sắp xếp các từ để tạo câu đúng: 因为下雨所以我没出去。
HSK 2,4,Bạn có thể giúp tôi một chút không?,你可以帮我一下吗。,"[""你"", ""可以"", ""帮"", ""我"", ""一下"", ""吗""]",Sắp xếp các từ để tạo câu đúng: 你可以帮我一下吗。
HSK 2,4,Anh ấy cao hơn tôi một chút.,他比我高一点儿。,"[""他"", ""比"", ""我"", ""高"", ""一点儿""]",Sắp xếp các từ để tạo câu đúng: 他比我高一点儿。
HSK 2,4,Chúng tôi đang chuẩn bị cho kỳ thi ngày mai.,我们正在准备明天的考试。,"[""我们"", ""正在"", ""准备"", ""明天"", ""的"", ""考试""]",Sắp xếp các từ để tạo câu đúng: 我们正在准备明天的考试。
HSK 2,4,Hãy đặt sách lên bàn.,请把书放在桌子上。,"[""请"", ""把"", ""书"", ""放"", ""在"", ""桌子"", ""上""]",Sắp xếp các từ để tạo câu đúng: 请把书放在桌子上。
HSK 2,4,Tôi thấy bộ quần áo này rất đẹp.,我觉得这件衣服很漂亮。,"[""我"", ""觉得"", ""这件"", ""衣服"", ""很"", ""漂亮""]",Sắp xếp các từ để tạo câu đúng: 我觉得这件衣服很漂亮。
HSK 2,4,Cuối tuần cô ấy thường trò chuyện với bạn.,她周末常常和朋友聊天。,"[""她"", ""周末"", ""常常"", ""和"", ""朋友"", ""聊天""]",Sắp xếp các từ để tạo câu đúng: 她周末常常和朋友聊天。
HSK 2,4,Từ đây đến nhà ga mất mười phút.,从这里到车站要十分钟。,"[""从"", ""这里"", ""到"", ""车站"", ""要"", ""十分钟""]",Sắp xếp các từ để tạo câu đúng: 从这里到车站要十分钟。
HSK 2,4,Nếu bạn có thời gian thì hãy đến nhà tôi.,如果你有时间就来我家吧。,"[""如果"", ""你"", ""有"", ""时间"", ""就"", ""来"", ""我家"", ""吧""]",Sắp xếp các từ để tạo câu đúng: 如果你有时间就来我家吧。
HSK 2,5,Tôi đã ăn sáng rồi.,我已经吃过早饭了。,"[""我"", ""已经"", ""吃过"", ""早饭"", ""了""]",Sắp xếp các từ để tạo câu đúng: 我已经吃过早饭了。
HSK 2,5,Vì trời mưa nên tôi không ra ngoài.,因为下雨所以我没出去。,"[""因为"", ""下雨"", ""所以"", ""我"", ""没"", ""出去""]",Sắp xếp các từ để tạo câu đúng: 因为下雨所以我没出去。
HSK 2,5,Bạn có thể giúp tôi một chút không?,你可以帮我一下吗。,"[""你"", ""可以"", ""帮"", ""我"", ""一下"", ""吗""]",Sắp xếp các từ để tạo câu đúng: 你可以帮我一下吗。
HSK 2,5,Anh ấy cao hơn tôi một chút.,他比我高一点儿。,"[""他"", ""比"", ""我"", ""高"", ""一点儿""]",Sắp xếp các từ để tạo câu đúng: 他比我高一点儿。
HSK 2,5,Chúng tôi đang chuẩn bị cho kỳ thi ngày mai.,我们正在准备明天的考试。,"[""我们"", ""正在"", ""准备"", ""明天"", ""的"", ""考试""]",Sắp xếp các từ để tạo câu đúng: 我们正在准备明天的考试。
HSK 2,5,Hãy đặt sách lên bàn.,请把书放在桌子上。,"[""请"", ""把"", ""书"", ""放"", ""在"", ""桌子"", ""上""]",Sắp xếp các từ để tạo câu đúng: 请把书放在桌子上。
HSK 2,5,Tôi thấy bộ quần áo này rất đẹp.,我觉得这件衣服很漂亮。,"[""我"", ""觉得"", ""这件"", ""衣服"", ""很"", ""漂亮""]",Sắp xếp các từ để tạo câu đúng: 我觉得这件衣服很漂亮。
HSK 2,5,Cuối tuần cô ấy thường trò chuyện với bạn.,她周末常常和朋友聊天。,"[""她"", ""周末"", ""常常"", ""和"", ""朋友"", ""聊天""]",Sắp xếp các từ để tạo câu đúng: 她周末常常和朋友聊天。
HSK 2,5,Từ đây đến nhà ga mất mười phút.,从这里到车站要十分钟。,"[""从"", ""这里"", ""到"", ""车站"", ""要"", ""十分钟""]",Sắp xếp các từ để tạo câu đúng: 从这里到车站要十分钟。
HSK 2,5,Nếu bạn có thời gian thì hãy đến nhà tôi.,如果你有时间就来我家吧。,"[""如果"", ""你"", ""有"", ""时间"", ""就"", ""来"", ""我家"", ""吧""]",Sắp xếp các từ để tạo câu đúng: 如果你有时间就来我家吧。
HSK 2,6,Tôi đã ăn sáng rồi.,我已经吃过早饭了。,"[""我"", ""已经"", ""吃过"", ""早饭"", ""了""]",Sắp xếp các từ để tạo câu đúng: 我已经吃过早饭了。
HSK 2,6,Vì trời mưa nên tôi không ra ngoài.,因为下雨所以我没出去。,"[""因为"", ""下雨"", ""所以"", ""我"", ""没"", ""出去""]",Sắp xếp các từ để tạo câu đúng: 因为下雨所以我没出去。
HSK 2,6,Bạn có thể giúp tôi một chút không?,你可以帮我一下吗。,"[""你"", ""可以"", ""帮"", ""我"", ""一下"", ""吗""]",Sắp xếp các từ để tạo câu đúng: 你可以帮我一下吗。
HSK 2,6,Anh ấy cao hơn tôi một chút.,他比我高一点儿。,"[""他"", ""比"", ""我"", ""高"", ""一点儿""]",Sắp xếp các từ để tạo câu đúng: 他比我高一点儿。
HSK 2,6,Chúng tôi đang chuẩn bị cho kỳ thi ngày mai.,我们正在准备明天的考试。,"[""我们"", ""正在"", ""准备"", ""明天"", ""的"", ""考试""]",Sắp xếp các từ để tạo câu đúng: 我们正在准备明天的考试。
HSK 2,6,Hãy đặt sách lên bàn.,请把书放在桌子上。,"[""请"", ""把"", ""书"", ""放"", ""在"", ""桌子"", ""上""]",Sắp xếp các từ để tạo câu đúng: 请把书放在桌子上。
HSK 2,6,Tôi thấy bộ quần áo này rất đẹp.,我觉得这件衣服很漂亮。,"[""我"", ""觉得"", ""这件"", ""衣服"", ""很"", ""漂亮""]",Sắp xếp các từ để tạo câu đúng: 我觉得这件衣服很漂亮。
HSK 2,6,Cuối tuần cô ấy thường trò chuyện với bạn.,她周末常常和朋友聊天。,"[""她"", ""周末"", ""常常"", ""和"", ""朋友"", ""聊天""]",Sắp xếp các từ để tạo câu đúng: 她周末常常和朋友聊天。
HSK 2,6,Từ đây đến nhà ga mất mười phút.,从这里到车站要十分钟。,"[""从"", ""这里"", ""到"", ""车站"", ""要"", ""十分钟""]",Sắp xếp các từ để tạo câu đúng: 从这里到车站要十分钟。
HSK 2,6,Nếu bạn có thời gian thì hãy đến nhà tôi.,如果你有时间就来我家吧。,"[""如果"", ""你"", ""有"", ""时间"", ""就"", ""来"", ""我家"", ""吧""]",Sắp xếp các từ để tạo câu đúng: 如果你有时间就来我家吧。
HSK 2,7,Tôi đã ăn sáng rồi.,我已经吃过早饭了。,"[""我"", ""已经"", ""吃过"", ""早饭"", ""了""]",Sắp xếp các từ để tạo câu đúng: 我已经吃过早饭了。
HSK 2,7,Vì trời mưa nên tôi không ra ngoài.,因为下雨所以我没出去。,"[""因为"", ""下雨"", ""所以"", ""我"", ""没"", ""出去""]",Sắp xếp các từ để tạo câu đúng: 因为下雨所以我没出去。
HSK 2,7,Bạn có thể giúp tôi một chút không?,你可以帮我一下吗。,"[""你"", ""可以"", ""帮"", ""我"", ""一下"", ""吗""]",Sắp xếp các từ để tạo câu đúng: 你可以帮我一下吗。
HSK 2,7,Anh ấy cao hơn tôi một chút.,他比我高一点儿。,"[""他"", ""比"", ""我"", ""高"", ""一点儿""]",Sắp xếp các từ để tạo câu đúng: 他比我高一点儿。
HSK 2,7,Chúng tôi đang chuẩn bị cho kỳ thi ngày mai.,我们正在准备明天的考试。,"[""我们"", ""正在"", ""准备"", ""明天"", ""的"", ""考试""]",Sắp xếp các từ để tạo câu đúng: 我们正在准备明天的考试。
HSK 2,7,Hãy đặt sách lên bàn.,请把书放在桌子上。,"[""请"", ""把"", ""书"", ""放"", ""在"", ""桌子"", ""上""]",Sắp xếp các từ để tạo câu đúng: 请把书放在桌子上。
HSK 2,7,Tôi thấy bộ quần áo này rất đẹp.,我觉得这件衣服很漂亮。,"[""我"", ""觉得"", ""这件"", ""衣服"", ""很"", ""漂亮""]",Sắp xếp các từ để tạo câu đúng: 我觉得这件衣服很漂亮。
HSK 2,7,Cuối tuần cô ấy thường trò chuyện với bạn.,她周末常常和朋友聊天。,"[""她"", ""周末"", ""常常"", ""和"", ""朋友"", ""聊天""]",Sắp xếp các từ để tạo câu đúng: 她周末常常和朋友聊天。
HSK 2,7,Từ đây đến nhà ga mất mười phút.,从这里到车站要十分钟。,"[""从"", ""这里"", ""到"", ""车站"", ""要"", ""十分钟""]",Sắp xếp các từ để tạo câu đúng: 从这里到车站要十分钟。
HSK 2,7,Nếu bạn có thời gian thì hãy đến nhà tôi.,如果你有时间就来我家吧。,"[""如果"", ""你"", ""有"", ""时间"", ""就"", ""来"", ""我家"", ""吧""]",Sắp xếp các từ để tạo câu đúng: 如果你有时间就来我家吧。
HSK 2,8,Tôi đã ăn sáng rồi.,我已经吃过早饭了。,"[""我"", ""已经"", ""吃过"", ""早饭"", ""了""]",Sắp xếp các từ để tạo câu đúng: 我已经吃过早饭了。
HSK 2,8,Vì trời mưa nên tôi không ra ngoài.,因为下雨所以我没出去。,"[""因为"", ""下雨"", ""所以"", ""我"", ""没"", ""出去""]",Sắp xếp các từ để tạo câu đúng: 因为下雨所以我没出去。
HSK 2,8,Bạn có thể giúp tôi một chút không?,你可以帮我一下吗。,"[""你"", ""可以"", ""帮"", ""我"", ""一下"", ""吗""]",Sắp xếp các từ để tạo câu đúng: 你可以帮我一下吗。
HSK 2,8,Anh ấy cao hơn tôi một chút.,他比我高一点儿。,"[""他"", ""比"", ""我"", ""高"", ""一点儿""]",Sắp xếp các từ để tạo câu đúng: 他比我高一点儿。
HSK 2,8,Chúng tôi đang chuẩn bị cho kỳ thi ngày mai.,我们正在准备明天的考试。,"[""我们"", ""正在"", ""准备"", ""明天"", ""的"", ""考试""]",Sắp xếp các từ để tạo câu đúng: 我们正在准备明天的考试。
HSK 2,8,Hãy đặt sách lên bàn.,请把书放在桌子上。,"[""请"", ""把"", ""书"", ""放"", ""在"", ""桌子"", ""上""]",Sắp xếp các từ để tạo câu đúng: 请把书放在桌子上。
HSK 2,8,Tôi thấy bộ quần áo này rất đẹp.,我觉得这件衣服很漂亮。,"[""我"", ""觉得"", ""这件"", ""衣服"", ""很"", ""漂亮""]",Sắp xếp các từ để tạo câu đúng: 我觉得这件衣服很漂亮。
HSK 2,8,Cuối tuần cô ấy thường trò chuyện với bạn.,她周末常常和朋友聊天。,"[""她"", ""周末"", ""常常"", ""和"", ""朋友"", ""聊天""]",Sắp xếp các từ để tạo câu đúng: 她周末常常和朋友聊天。
HSK 2,8,Từ đây đến nhà ga mất mười phút.,从这里到车站要十分钟。,"[""从"", ""这里"", ""到"", ""车站"", ""要"", ""十分钟""]",Sắp xếp các từ để tạo câu đúng: 从这里到车站要十分钟。
HSK 2,8,Nếu bạn có thời gian thì hãy đến nhà tôi.,如果你有时间就来我家吧。,"[""如果"", ""你"", ""有"", ""时间"", ""就"", ""来"", ""我家"", ""吧""]",Sắp xếp các từ để tạo câu đúng: 如果你有时间就来我家吧。
HSK 2,9,Tôi đã ăn sáng rồi.,我已经吃过早饭了。,"[""我"", ""已经"", ""吃过"", ""早饭"", ""了""]",Sắp xếp các từ để tạo câu đúng: 我已经吃过早饭了。
HSK 2,9,Vì trời mưa nên tôi không ra ngoài.,因为下雨所以我没出去。,"[""因为"", ""下雨"", ""所以"", ""我"", ""没"", ""出去""]",Sắp xếp các từ để tạo câu đúng: 因为下雨所以我没出去。
HSK 2,9,Bạn có thể giúp tôi một chút không?,你可以帮我一下吗。,"[""你"", ""可以"", ""帮"", ""我"", ""一下"", ""吗""]",Sắp xếp các từ để tạo câu đúng: 你可以帮我一下吗。
HSK 2,9,Anh ấy cao hơn tôi một chút.,他比我高一点儿。,"[""他"", ""比"", ""我"", ""高"", ""一点儿""]",Sắp xếp các từ để tạo câu đúng: 他比我高一点儿。
HSK 2,9,Chúng tôi đang chuẩn bị cho kỳ thi ngày mai.,我们正在准备明天的考试。,"[""我们"", ""正在"", ""准备"", ""明天"", ""的"", ""考试""]",Sắp xếp các từ để tạo câu đúng: 我们正在准备明天的考试。
HSK 2,9,Hãy đặt sách lên bàn.,请把书放在桌子上。,"[""请"", ""把"", ""书"", ""放"", ""在"", ""桌子"", ""上""]",Sắp xếp các từ để tạo câu đúng: 请把书放在桌子上。
HSK 2,9,Tôi thấy bộ quần áo này rất đẹp.,我觉得这件衣服很漂亮。,"[""我"", ""觉得"", ""这件"", ""衣服"", ""很"", ""漂亮""]",Sắp xếp các từ để tạo câu đúng: 我觉得这件衣服很漂亮。
HSK 2,9,Cuối tuần cô ấy thường trò chuyện với bạn.,她周末常常和朋友聊天。,"[""她"", ""周末"", ""常常"", ""和"", ""朋友"", ""聊天""]",Sắp xếp các từ để tạo câu đúng: 她周末常常和朋友聊天。
HSK 2,9,Từ đây đến nhà ga mất mười phút.,从这里到车站要十分钟。,"[""从"", ""这里"", ""到"", ""车站"", ""要"", ""十分钟""]",Sắp xếp các từ để tạo câu đúng: 从这里到车站要十分钟。
HSK 2,9,Nếu bạn có thời gian thì hãy đến nhà tôi.,如果你有时间就来我家吧。,"[""如果"", ""你"", ""有"", ""时间"", ""就"", ""来"", ""我家"", ""吧""]",Sắp xếp các từ để tạo câu đúng: 如果你有时间就来我家吧。
HSK 2,10,Tôi đã ăn sáng rồi.,我已经吃过早饭了。,"[""我"", ""已经"", ""吃过"", ""早饭"", ""了""]",Sắp xếp các từ để tạo câu đúng: 我已经吃过早饭了。
HSK 2,10,Vì trời mưa nên tôi không ra ngoài.,因为下雨所以我没出去。,"[""因为"", ""下雨"", ""所以"", ""我"", ""没"", ""出去""]",Sắp xếp các từ để tạo câu đúng: 因为下雨所以我没出去。
HSK 2,10,Bạn có thể giúp tôi một chút không?,你可以帮我一下吗。,"[""你"", ""可以"", ""帮"", ""我"", ""一下"", ""吗""]",Sắp xếp các từ để tạo câu đúng: 你可以帮我一下吗。
HSK 2,10,Anh ấy cao hơn tôi một chút.,他比我高一点儿。,"[""他"", ""比"", ""我"", ""高"", ""一点儿""]",Sắp xếp các từ để tạo câu đúng: 他比我高一点儿。
HSK 2,10,Chúng tôi đang chuẩn bị cho kỳ thi ngày mai.,我们正在准备明天的考试。,"[""我们"", ""正在"", ""准备"", ""明天"", ""的"", ""考试""]",Sắp xếp các từ để tạo câu đúng: 我们正在准备明天的考试。
HSK 2,10,Hãy đặt sách lên bàn.,请把书放在桌子上。,"[""请"", ""把"", ""书"", ""放"", ""在"", ""桌子"", ""上""]",Sắp xếp các từ để tạo câu đúng: 请把书放在桌子上。
HSK 2,10,Tôi thấy bộ quần áo này rất đẹp.,我觉得这件衣服很漂亮。,"[""我"", ""觉得"", ""这件"", ""衣服"", ""很"", ""漂亮""]",Sắp xếp các từ để tạo câu đúng: 我觉得这件衣服很漂亮。
HSK 2,10,Cuối tuần cô ấy thường trò chuyện với bạn.,她周末常常和朋友聊天。,"[""她"", ""周末"", ""常常"", ""和"", ""朋友"", ""聊天""]",Sắp xếp các từ để tạo câu đúng: 她周末常常和朋友聊天。
HSK 2,10,Từ đây đến nhà ga mất mười phút.,从这里到车站要十分钟。,"[""从"", ""这里"", ""到"", ""车站"", ""要"", ""十分钟""]",Sắp xếp các từ để tạo câu đúng: 从这里到车站要十分钟。
HSK 2,10,Nếu bạn có thời gian thì hãy đến nhà tôi.,如果你有时间就来我家吧。,"[""如果"", ""你"", ""有"", ""时间"", ""就"", ""来"", ""我家"", ""吧""]",Sắp xếp các từ để tạo câu đúng: 如果你有时间就来我家吧。
